channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.4,2460440,0.63375,0.908047632,0.908047632,40,28.74,1
6899.2,2460440,2.23751,0.908379881,0.908379881,33.76,18.75,1
6899.2,2460440,1.57875,0.909756794,0.909756794,26.25,25,1
6899.1,2460440,1.48247,0.911365858,0.911365858,24.99,21.26,1
6899.1,2460440,0.75875,0.913127795,0.913127795,21.25,17.51,1
6899.4,2460440,5.33001,0.913627429,0.913627429,21.26,31.24,1
6899.4,2460440,4.43873,0.915390141,0.915390141,31.24,25.01,1
6899.2,2460440,4.54124,0.916098023,0.916098023,19.99,22.5,1
6899.4,2460440,0.38624,0.917353611,0.917353611,28.74,25,1
6899.1,2460440,2.2675,0.917929781,0.917929781,35.01,22.5,1
6899.2,2460440,1.24751,0.919069013,0.919069013,22.51,25,1
6899.2,2460440,3.50625,0.919478953,0.919478953,32.51,36.24,1
6899.3,2460440,0.59375,0.9201157,0.9201157,36.25,25,1
6899.3,2460440,0.52125,0.920566594,0.920566594,38.75,25.01,1
6899.2,2460440,4.28,0.920572006,0.920572006,36.25,26.24,1
6899.2,2460440,0.82875,0.923855435,0.923855435,22.49,16.24,1
6899.2,2460440,1.93124,0.924925852,0.924925852,28.76,22.5,1
6899.4,2460440,0.6075,0.927437993,0.927437993,30.01,27.5,1
6899.3,2460440,8.92,0.929951145,0.929951145,28.74,18.74,1
6899.2,2460440,0.56,0.930079975,0.930079975,28.74,22.48,1
6899.2,2460440,0.695,0.930197033,0.930197033,35.01,30,1
6899.1,2460440,4.68749,0.930524249,0.930524249,29.98,16.24,1
6899.2,2460440,2.86375,0.932953656,0.932953656,25.01,20,1
6899.1,2460440,2.11498,0.934283213,0.934283213,11.24,16.26,1
6899.2,2460440,3.52501,0.934510514,0.934510514,23.75,21.25,1
6899.2,2460440,1.31875,0.934829368,0.934829368,33.75,25.01,1
6899.1,2460440,0.51374,0.934833405,0.934833405,28.74,38.75,1
6899.1,2460440,2.08374,0.935231403,0.935231403,39.98,16.26,1
6899.4,2460440,5.56749,0.9360885,0.9360885,30,12.5,1
6899.4,2460440,0.72624,0.936220851,0.936220851,30,27.5,1
6899.1,2460440,0.86624,0.939699307,0.939699307,27.48,15,1
6899.1,2460440,9.91125,0.943722774,0.943722775,20,31.24,1
6899.3,2460440,0.40624,0.943845901,0.943845901,16.26,40.01,1
6899.4,2460440,3.41999,0.947218453,0.947218454,36.23,17.51,1
6899.3,2460440,0.54002,0.948033707,0.948033707,35.01,26.24,1
