channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.1,2459722,4.41625,0.602625471,0.602625471,31.24,16.25,1
6899.4,2459722,1.30875,0.603347063,0.603347063,11.25,27.5,1
6899.4,2459722,2.965,0.603767088,0.603767088,40.01,26.26,1
6899.1,2459722,13.32,0.606478107,0.606478107,17.51,20.01,1
6899.4,2459722,2.30249,0.608428201,0.608428201,30,11.26,1
6899.1,2459722,5.99874,0.609175868,0.609175868,17.5,20.01,1
6899.2,2459722,0.525,0.609385804,0.609385804,28.75,12.51,1
6899.2,2459722,2.36876,0.610077622,0.610077622,37.51,21.25,1
6899.2,2459722,0.585,0.610146908,0.610146908,28.75,25.01,1
6899.2,2459722,5.26,0.611502609,0.611502609,33.75,11.25,1
6899.4,2459722,1.54376,0.611569958,0.611569958,31.24,16.24,1
6899.3,2459722,3.17125,0.612803815,0.612803815,40,13.75,1
6899.4,2459722,0.4625,0.613776845,0.613776845,28.76,13.75,1
6899.2,2459722,0.645,0.614256505,0.614256505,27.49,26.25,1
6899.1,2459722,1.07124,0.615880833,0.615880833,21.25,27.5,1
6899.1,2459722,18.69125,0.616014799,0.616014799,13.75,40,1
6899.1,2459722,0.62376,0.619687671,0.619687671,26.24,17.5,1
6899.4,2459722,18.7725,0.620431844,0.620431844,34.99,22.49,1
6899.2,2459722,0.73625,0.620704317,0.620704317,32.51,25.01,1
6899.1,2459722,1.09499,0.626177074,0.626177074,31.24,8.75,1
6899.1,2459722,0.65499,0.62664629,0.62664629,23.75,17.5,1
6899.2,2459722,1.30126,0.627141427,0.627141427,22.5,23.74,1
6899.2,2459722,3.97376,0.628081867,0.628081867,25,23.75,1
6899.4,2459722,1.94125,0.628308152,0.628308152,28.75,27.5,1
6899.4,2459722,2.445,0.628603404,0.628603404,38.74,28.75,1
6899.1,2459722,5.82875,0.629699388,0.629699388,32.5,16.26,1
6899.1,2459722,11.56125,0.629798708,0.629798708,17.5,28.75,1
6899.2,2459722,1.25874,0.630178479,0.630178479,31.25,17.51,1
6899.4,2459722,2.205,0.630193407,0.630193407,28.75,26.24,1
6899.1,2459722,16.22001,0.630986031,0.630986031,26.26,18.75,1
6899.2,2459722,4.77624,0.631019601,0.631019601,37.5,21.26,1
6899.1,2459722,8.79499,0.63248739,0.63248739,11.24,26.25,1
6899.4,2459722,2.855,0.633246466,0.633246466,30,33.76,1
6899.2,2459722,2.28875,0.633632876,0.633632876,40.01,11.26,1
6899.1,2459722,2.42375,0.633870727,0.633870727,30,13.75,1
6899.1,2459722,2.02875,0.634048374,0.634048374,21.26,22.5,1
6899.1,2459722,6.24875,0.636911541,0.636911541,37.5,22.5,1
6899.2,2459722,1.155,0.636940264,0.636940264,32.5,21.25,1
6899.4,2459722,0.56124,0.639095828,0.639095828,30,30.01,1
6899.1,2459722,5.55626,0.639201979,0.639201979,23.76,16.25,1
6899.2,2459722,0.30126,0.639750942,0.639750942,33.76,11.25,1
6899.1,2459722,10.77875,0.640376368,0.640376369,21.26,23.75,1
6899.2,2459722,1.18,0.641751143,0.641751143,40,18.74,1
6899.1,2459722,5.11249,0.641755274,0.641755274,39.99,27.51,1
6899.1,2459722,19.3725,0.641829133,0.641829133,7.49,26.24,1
6899.1,2459722,0.70375,0.644146313,0.644146313,20.01,30,1
6899.1,2459722,8.51376,0.649799201,0.649799201,13.76,16.25,1
6899.1,2459722,4.22124,0.649806742,0.649806742,32.49,15,1
6899.1,2459722,1.00501,0.650270453,0.650270453,32.51,18.75,1
6899.1,2459722,3.665,0.651075503,0.651075503,30,22.5,1
6899.1,2459722,5.5525,0.651167386,0.651167386,32.5,12.5,1
6899.2,2459722,0.46624,0.651234755,0.651234755,35,25.01,1
6899.1,2459722,1.63,0.652124711,0.652124711,17.5,27.5,1
6899.2,2459722,12.38626,0.652273356,0.652273357,17.51,22.49,1
6899.4,2459722,0.46501,0.653409014,0.653409014,32.51,27.5,1
6899.1,2459722,1.6125,0.653503987,0.653503987,26.25,17.5,1
6899.2,2459722,2.8575,0.654948503,0.654948503,20.01,15,1
6899.1,2459722,6.46625,0.655163795,0.655163795,15,12.5,1
6899.1,2459722,2.78249,0.65592194,0.65592194,28.75,26.24,1
6899.2,2459722,3.51625,0.656285344,0.656285344,38.75,25,1
6899.2,2459722,0.43,0.65758471,0.65758471,30,16.26,1
6899.1,2459722,0.915,0.658897019,0.658897019,15,18.74,1
6899.4,2459722,3.28125,0.658933074,0.658933074,21.25,15,1
6899.2,2459722,1.45376,0.659176097,0.659176097,41.25,31.24,1
6899.1,2459722,0.74875,0.660041691,0.660041691,23.74,13.75,1
6899.1,2459722,0.40499,0.660723096,0.660723096,16.24,7.5,1
6899.2,2459722,2.62249,0.661073837,0.661073837,38.74,17.51,1
6899.1,2459722,1.87874,0.664936143,0.664936143,27.5,23.75,1
6899.1,2459722,1.77,0.666357287,0.666357287,30,7.5,1
6899.1,2459722,13.95249,0.666817688,0.666817688,27.49,17.51,1
6899.1,2459722,5.01999,0.667449194,0.667449194,19.99,30,1
6899.4,2459722,0.77125,0.668437809,0.668437809,32.5,23.75,1
6899.1,2459722,0.68,0.668774916,0.668774916,28.75,17.5,1
6899.1,2459722,5.99251,0.668966534,0.668966534,46.25,17.5,1
6899.1,2459722,11.67124,0.668990908,0.668990908,8.74,28.75,1
6899.1,2459722,9.85376,0.669403969,0.669403969,37.51,13.74,1
6899.3,2459722,3.4,0.669416118,0.669416118,32.5,28.75,1
6899.2,2459722,2.46374,0.670256139,0.670256139,48.74,13.76,1
